patient_id,age,gender,state,blood_group,abha_id
P0001,89,Female,Delhi,A+,91-5079-4348-7299
P0002,71,Female,Delhi,A+,91-4831-9381-2715
P0003,50,Female,Punjab,B+,91-7450-6433-2098
P0004,45,Female,Delhi,B+,91-8096-3326-7416
P0005,38,Female,Uttar Pradesh,B+,91-7980-7763-2674
P0006,75,Male,Delhi,A+,91-8950-9915-7049
P0007,60,Male,Rajasthan,B+,91-2089-5578-1155
P0008,52,Female,Punjab,O+,91-2958-7344-6779
P0009,39,Female,Haryana,A-,91-7144-6063-4830
P0010,41,Male,Rajasthan,O+,91-9831-7659-1441
P0011,41,Male,Delhi,O+,91-7040-6925-8358
P0012,70,Male,Uttar Pradesh,A+,91-5628-7370-1948
P0013,47,Female,Delhi,O+,91-9179-7115-1459
P0014,48,Male,Rajasthan,B-,91-8568-5646-1392
P0015,58,Male,Delhi,B-,91-2787-8374-2138
P0016,72,Male,Haryana,B+,91-5741-8418-7362
P0017,26,Male,Uttar Pradesh,B+,91-3454-4674-2377
P0018,74,Female,Delhi,B+,91-7701-3597-1141
P0019,61,Male,Delhi,B+,91-3659-5596-6661
P0020,91,Female,Delhi,AB+,91-7142-6626-9787
P0021,50,Male,Delhi,O+,91-9472-1423-7999
P0022,51,Female,Haryana,B+,91-5249-2750-5757
P0023,64,Male,Delhi,O+,91-2967-5088-5178
P0024,76,Male,Delhi,A+,91-8789-3946-6394
P0025,85,Female,Delhi,A+,91-8880-6075-8230
P0026,34,Female,Uttar Pradesh,O+,91-2531-3990-8155
P0027,50,Female,Delhi,B+,91-5493-1933-2460
P0028,49,Female,Delhi,A+,91-3723-1285-1264
P0029,53,Female,Delhi,A+,91-7816-2762-1040
P0030,54,Male,Haryana,A+,91-6827-9259-1987
P0031,34,Female,Uttar Pradesh,O+,91-8804-8789-6717
P0032,94,Male,Delhi,B-,91-4198-6374-5790
P0033,57,Female,Delhi,O+,91-8183-3524-3479
P0034,60,Female,Uttar Pradesh,B-,91-6154-1778-2492
P0035,57,Female,Uttar Pradesh,B+,91-1660-2348-8851
P0036,52,Female,Delhi,A-,91-8156-3044-8368
P0037,32,Male,Uttar Pradesh,AB+,91-4516-5577-1727
P0038,20,Female,Punjab,A+,91-8468-1342-2447
P0039,58,Male,Delhi,O+,91-7581-7317-1526
P0040,38,Female,Uttar Pradesh,O+,91-7748-1405-8986
P0041,50,Female,Uttar Pradesh,A-,91-4740-2846-2478
P0042,78,Male,Haryana,O+,91-1771-6525-9770
P0043,43,Female,Delhi,O+,91-1193-3007-2185
P0044,37,Female,Delhi,O+,91-3394-5005-8429
P0045,18,Female,Rajasthan,A+,91-3261-4736-7716
P0046,59,Female,Punjab,B+,91-5875-9921-5378
P0047,55,Male,Uttar Pradesh,B+,91-8815-4451-8616
P0048,49,Male,Haryana,A+,91-3800-9333-6410
P0049,63,Female,Uttar Pradesh,A+,91-2455-7892-6808
P0050,65,Male,Haryana,O+,91-7796-5796-6093
P0051,39,Female,Delhi,A+,91-2325-5976-2159
P0052,81,Male,Delhi,AB+,91-5650-5987-5697
P0053,87,Male,Uttar Pradesh,O+,91-1340-4828-2968
P0054,55,Female,Delhi,O+,91-1703-6482-7376
P0055,59,Female,Uttar Pradesh,A-,91-2800-6463-5912
P0056,35,Male,Delhi,O+,91-5648-1855-3866
P0057,35,Female,Delhi,A+,91-1182-4112-6670
P0058,47,Male,Delhi,A+,91-5492-6823-2517
P0059,48,Male,Haryana,AB+,91-6002-2356-4629
P0060,92,Male,Punjab,B+,91-4628-9210-7132
P0061,39,Male,Delhi,B+,91-7588-4311-7048
P0062,23,Male,Rajasthan,B-,91-7246-1987-4321
P0063,57,Female,Haryana,A+,91-5615-9365-4741
P0064,71,Female,Uttar Pradesh,A+,91-4052-7574-1726
P0065,54,Male,Delhi,B+,91-4760-6806-2875
P0066,46,Female,Uttar Pradesh,O+,91-7993-5033-6443
P0067,79,Female,Uttar Pradesh,AB+,91-1989-4744-9611
P0068,83,Male,Delhi,A-,91-1593-2774-1935
P0069,52,Female,Delhi,B+,91-4808-1331-8922
P0070,51,Female,Rajasthan,A+,91-3702-6889-6054
P0071,65,Male,Punjab,A+,91-4868-5200-1201
P0072,84,Male,Delhi,O+,91-3497-2842-5658
P0073,32,Female,Uttar Pradesh,A+,91-8544-8718-1770
P0074,76,Female,Rajasthan,A+,91-4155-2628-1386
P0075,57,Male,Rajasthan,O+,91-7031-7439-7401
P0076,71,Female,Punjab,AB+,91-5008-3466-3282
P0077,32,Female,Uttar Pradesh,AB-,91-2856-8980-2998
P0078,61,Female,Haryana,A+,91-6476-5669-5318
P0079,52,Female,Delhi,A+,91-8064-8446-2431
P0080,39,Female,Delhi,A+,91-6624-8461-2819
P0081,66,Male,Uttar Pradesh,A+,91-2130-7563-3658
P0082,57,Male,Uttar Pradesh,O+,91-4500-9566-3120
P0083,56,Female,Delhi,O+,91-5020-4259-2823
P0084,41,Female,Rajasthan,O+,91-2474-3242-4243
P0085,46,Male,Uttar Pradesh,O+,91-7990-6160-4134
P0086,58,Female,Haryana,B+,91-3070-1359-2141
P0087,62,Female,Haryana,O+,91-2635-5000-4361
P0088,81,Male,Haryana,B+,91-7583-8835-1006
P0089,40,Female,Delhi,B+,91-4267-7564-5928
P0090,61,Female,Delhi,B+,91-3606-6906-4273
P0091,63,Female,Delhi,A+,91-8611-1913-3011
P0092,63,Female,Delhi,B+,91-2442-6546-2829
P0093,52,Male,Haryana,O+,91-9767-7468-1929
P0094,63,Female,Haryana,A+,91-4699-2054-6744
P0095,66,Male,Delhi,A+,91-2900-7980-8069
P0096,37,Male,Uttar Pradesh,B+,91-4415-1442-7218
P0097,70,Female,Delhi,O+,91-5652-8939-8833
P0098,42,Male,Rajasthan,AB+,91-8597-5458-7591
P0099,57,Male,Punjab,O+,91-3309-7268-1910
P0100,50,Female,Delhi,A+,91-5340-5009-7628
P0101,48,Male,Haryana,AB+,91-3169-3172-6668
P0102,54,Male,Delhi,B+,91-7313-9315-9036
P0103,67,Female,Haryana,O+,91-7789-1785-7139
P0104,53,Female,Uttar Pradesh,AB+,91-7344-3416-9988
P0105,54,Male,Delhi,A+,91-5154-6619-2936
P0106,37,Female,Haryana,A+,91-4807-8151-4236
P0107,54,Male,Delhi,A+,91-3352-2932-9556
P0108,29,Female,Delhi,B+,91-5916-6498-1946
P0109,94,Female,Uttar Pradesh,A+,91-2439-8730-5857
P0110,50,Female,Delhi,O+,91-1340-1382-9491
P0111,63,Female,Haryana,B+,91-1138-1358-5931
P0112,53,Female,Haryana,A+,91-4456-2627-7626
P0113,61,Female,Punjab,A+,91-6004-7652-7416
P0114,42,Male,Delhi,A+,91-4170-4835-9017
P0115,64,Male,Haryana,O+,91-3151-7905-3834
P0116,91,Female,Uttar Pradesh,A+,91-3567-2307-9848
P0117,44,Male,Delhi,O+,91-3660-4730-7207
P0118,43,Female,Punjab,O+,91-4162-2140-9458
P0119,37,Male,Uttar Pradesh,AB+,91-2708-4630-4211
P0120,41,Female,Uttar Pradesh,O+,91-7538-1475-8684
P0121,63,Male,Uttar Pradesh,B+,91-2207-2960-1557
P0122,39,Male,Punjab,O+,91-1882-5761-6867
P0123,51,Female,Rajasthan,A+,91-7963-8166-8929
P0124,44,Male,Uttar Pradesh,A+,91-6347-8269-9125
P0125,53,Female,Uttar Pradesh,O+,91-3454-5494-2946
P0126,50,Male,Delhi,O+,91-3808-7642-4825
P0127,51,Male,Delhi,O+,91-4536-7068-4802
P0128,46,Female,Haryana,A+,91-5699-2970-6806
P0129,63,Male,Delhi,A-,91-7142-3819-1364
P0130,59,Female,Haryana,O+,91-5258-4119-2863
P0131,43,Female,Delhi,A+,91-1115-8084-9016
P0132,52,Female,Delhi,O+,91-3384-4935-8742
P0133,20,Female,Uttar Pradesh,O+,91-6442-3490-7980
P0134,41,Female,Punjab,B+,91-8661-2724-9182
P0135,86,Female,Delhi,B+,91-3767-2137-5117
P0136,46,Male,Haryana,B+,91-4420-6845-5778
P0137,77,Male,Rajasthan,A+,91-4906-4637-3953
P0138,61,Male,Delhi,O+,91-6929-1276-2999
P0139,45,Male,Uttar Pradesh,B+,91-2227-7337-4735
P0140,53,Female,Delhi,O+,91-1695-5152-8901
P0141,78,Female,Delhi,A+,91-8470-8537-3841
P0142,75,Male,Punjab,O-,91-5208-9733-2088
P0143,57,Male,Delhi,B+,91-4363-1024-7144
P0144,27,Male,Uttar Pradesh,A+,91-6668-5236-9068
P0145,41,Female,Uttar Pradesh,A+,91-3235-8295-9392
P0146,58,Female,Delhi,O+,91-9448-4747-4175
P0147,56,Male,Uttar Pradesh,O+,91-5897-6037-8427
P0148,60,Female,Punjab,O+,91-9605-3014-2381
